"run_id","evidence_category","path","evidence_status"
"llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340","r4_half","results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340","present"
"llmpruner_qwen25c3b_official_keep80_20260729_061042","r4_half","results/evidence/r4_half/llmpruner_qwen25c3b_official_keep80_20260729_061042","present"
"pilot_keep80_official_all_20260727_174732","r4_half","results/evidence/r4_half/pilot_keep80_official_all_20260727_174732","present"
"qwen25c15b_official_evalhalf_20260729_172949","r4_half","results/evidence/r4_half/qwen25c15b_official_evalhalf_20260729_172949","present"
"qwen25c3b_official_evalhalf_20260727_135521","r4_half","results/evidence/r4_half/qwen25c3b_official_evalhalf_20260727_135521","present"
"qwen25c3b_r4_baseline_evalhalf_20260723_193503","r4_half","results/evidence/r4_half/qwen25c3b_r4_baseline_evalhalf_20260723_193503","present"
"qwen25c3b_r4_baseline_evalhalf_recheck_20260726_181426","r4_half","results/evidence/r4_half/qwen25c3b_r4_baseline_evalhalf_recheck_20260726_181426","present"
"slicegpt_codellama7b_r4_benchguided_evalhalf_20260726_053225","r4_half","results/evidence/r4_half/slicegpt_codellama7b_r4_benchguided_evalhalf_20260726_053225","present"
"slicegpt_codellama7b_r4_offload_probe_20260726_044311","r4_half","results/evidence/r4_half/slicegpt_codellama7b_r4_offload_probe_20260726_044311","present"
"slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001","r4_half","results/evidence/r4_half/slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001","present"
"flab_qwen3b_humaneval_prune_heavy_20260718_202722","smoke","results/evidence/smoke/flab_qwen3b_humaneval_prune_heavy_20260718_202722","present"
"flab_qwen3b_humaneval_prune_heavy_20260718_203150","smoke","results/evidence/smoke/flab_qwen3b_humaneval_prune_heavy_20260718_203150","present"
"flab_qwen3b_humaneval_prune_heavy_20260718_204006","smoke","results/evidence/smoke/flab_qwen3b_humaneval_prune_heavy_20260718_204006","present"
"flab_qwen3b_pruned_humaneval_smoke_eval_20260721_182050","smoke","results/evidence/smoke/flab_qwen3b_pruned_humaneval_smoke_eval_20260721_182050","present"
"flab_qwen3b_pruned_mbpp_smoke_eval_20260721_185132","smoke","results/evidence/smoke/flab_qwen3b_pruned_mbpp_smoke_eval_20260721_185132","present"
"llmpruner_codellama7b_humaneval_4task_offload_smoke_20260722_232800","smoke","results/evidence/smoke/llmpruner_codellama7b_humaneval_4task_offload_smoke_20260722_232800","present"
