timestamp,elapsed_sec,process_rss_mb,gpu_memory_used_mb
2026-07-18T17:36:46+08:00,0.0,3.43,621
2026-07-18T17:36:51+08:00,5.077,684.54,621
2026-07-18T17:36:56+08:00,10.149,704.24,621
2026-07-18T17:37:01+08:00,15.19,721.14,621
2026-07-18T17:37:06+08:00,20.224,740.32,621
2026-07-18T17:37:11+08:00,25.258,759.59,621
2026-07-18T17:37:16+08:00,30.291,778.98,621
2026-07-18T17:37:21+08:00,35.325,798.46,621
2026-07-18T17:37:26+08:00,40.363,817.46,621
2026-07-18T17:37:31+08:00,45.397,835.36,621
2026-07-18T17:37:36+08:00,50.429,852.98,621
2026-07-18T17:37:41+08:00,55.46,871.22,621
2026-07-18T17:37:46+08:00,60.502,889.77,621
2026-07-18T17:37:51+08:00,65.534,907.44,621
2026-07-18T17:37:56+08:00,70.59,925.23,621
2026-07-18T17:38:01+08:00,75.634,993.2,621
2026-07-18T17:38:07+08:00,80.667,1024.51,621
2026-07-18T17:38:12+08:00,85.698,1025.45,621
2026-07-18T17:38:17+08:00,90.747,1025.51,621
2026-07-18T17:38:22+08:00,95.784,1326.77,621
2026-07-18T17:38:27+08:00,100.832,2395.84,860
2026-07-18T17:38:32+08:00,105.885,2218.61,1968
2026-07-18T17:38:37+08:00,110.911,2218.61,1968
2026-07-18T17:38:42+08:00,115.941,2218.61,1968
2026-07-18T17:38:47+08:00,121.019,2218.61,1968
