artifact_id,run_id,method,artifact_type,storage_root,relative_locator,size_bytes,sha256,availability,committed_to_git,notes
artifact_0001,flabpruner_qwen25c15b_official_keep80_20260730_015031,Flab-Pruner,model_weights,SRTP_ARTIFACT_ROOT,flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80/pruned_model/model.safetensors,2753386720,,backup_only,false,large model artifact intentionally kept outside Git
artifact_0002,flabpruner_qwen25c15b_official_keep80_20260730_015031,Flab-Pruner,model_weights,SRTP_ARTIFACT_ROOT,flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80_merged_v2/model.safetensors,2371049200,,backup_only,false,large model artifact intentionally kept outside Git
artifact_0003,flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449,Flab-Pruner,model_weights,SRTP_ARTIFACT_ROOT,flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449/flabpruner_keep80/pruned_model/model.safetensors,1240000000,,backup_only,false,large model artifact intentionally kept outside Git
artifact_0004,llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340,LLM-Pruner,model_weights,SRTP_ARTIFACT_ROOT,llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80/pruned_model/model.safetensors,2000000000,,backup_only,false,large model artifact intentionally kept outside Git
artifact_0005,llmpruner_qwen25c3b_official_keep80_20260729_061042,LLM-Pruner,model_weights,SRTP_ARTIFACT_ROOT,llmpruner_qwen25c3b_official_keep80_20260729_061042/llmpruner_keep80/pruned_model/model.safetensors,1000000000,,backup_only,false,large model artifact intentionally kept outside Git
artifact_0006,slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001,SliceGPT,model_weights,SRTP_ARTIFACT_ROOT,slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001/slicegpt_keep80/sliced_model/model.safetensors,2000000000,,backup_only,false,large model artifact intentionally kept outside Git
