run_id,category,method_scope,model,protocol,variant,round,execution_status,validity_status,quality_gate,officiality,result_completeness,evidence_path,metadata_present,summary_present,superseded_by,notes
qwen15b_baseline_load_generate_check_20260721_173527,diagnostics,baseline,Qwen/Qwen2.5-Coder-1.5B-Instruct,diagnostic,baseline,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen15b_baseline_load_generate_check_20260721_173527,false,true,,
qwen25_coder_15b_config_probe_20260718_182144,diagnostics,baseline,unknown,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen25_coder_15b_config_probe_20260718_182144,true,true,,
qwen25_coder_3b_config_probe_20260718_182954,diagnostics,baseline,unknown,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen25_coder_3b_config_probe_20260718_182954,true,true,,
qwen25c3b_eval_fix_verify_20260727_011108,diagnostics,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_011108,false,false,,
qwen25c3b_eval_fix_verify_20260727_011224,diagnostics,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_011224,false,false,,
qwen25c3b_eval_fix_verify_20260727_011417,diagnostics,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_011417,false,false,,
qwen25c3b_eval_fix_verify_20260727_043440,diagnostics,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_043440,false,false,,
qwen25c3b_eval_fix_verify_20260727_050755,diagnostics,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,complete,results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_050755,false,true,,
qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852,diagnostics,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,complete,results/evidence/diagnostics/qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852,false,true,,
qwen3b_baseline_load_generate_check_20260721_175920,diagnostics,baseline,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,baseline,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/qwen3b_baseline_load_generate_check_20260721_175920,false,true,,
slicegpt_codellama7b_adapter_probe_20260722_200041,diagnostics,SliceGPT,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/slicegpt_codellama7b_adapter_probe_20260722_200041,false,true,,
slicegpt_primary_evidence_audit_20260804_130541,diagnostics,SliceGPT,unknown,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/slicegpt_primary_evidence_audit_20260804_130541,true,true,,
slicegpt_qwen_adapter_audit_20260722_012640,diagnostics,SliceGPT,unknown,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/slicegpt_qwen_adapter_audit_20260722_012640,false,false,,
sparsegpt_qwen15b_adapter_probe_attempt_20260804_123140,diagnostics,SparseGPT,Qwen/Qwen2.5-Coder-1.5B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/sparsegpt_qwen15b_adapter_probe_attempt_20260804_123140,true,true,,
create_humaneval_mbpp_smoke_splits_20260718_184456,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/create_humaneval_mbpp_smoke_splits_20260718_184456,true,true,,
create_lcb_swebench_smoke_splits_20260718_190255,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/create_lcb_swebench_smoke_splits_20260718_190255,true,true,,
env_check_20260718_173242,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/env_check_20260718_173242,true,true,,
import_core_method_envs_20260718_173245,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/import_core_method_envs_20260718_173245,true,true,,
stage1_final_resource_inventory_20260804_123140,infrastructure,shared,unknown,infrastructure,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/infrastructure/stage1_final_resource_inventory_20260804_123140,true,true,,
